Institution Type / Institution,Fice Code,Average of Resident Tuition and Fees,Average of Non-Resident Tuition and Fees,Average of In-District Tuition and Fees,Average of Out-of-District Tuition and Fees,Average of Books and Supplies,Average of Room and Board off-Campus,Average of Transportation Off-Campus,Average of Personal Expenses Off-Campus,Average of Total Resident Costs,Average of Total Non Resident Costs,Average of Total In District Costs,Average of Total Out of District Costs,Year,Public / Private
The University of Texas-Rio Grande Valley,3599,5125,13465,0,0,1000,6984,2732,1800,17641,25981,12516,12516,2008,Public
University of Houston,3652,8168,16598,0,0,1100,9233,2497,2624,23622,32052,15454,15454,2008,Public
University of Houston-Clear Lake,11711,5532,14442,0,0,976,10308,1200,3160,21176,30086,15644,15644,2008,Public
University of Houston-Downtown,12826,4934,13274,0,0,1076,8600,3200,3800,21610,29950,16676,16676,2008,Public
University of Houston-Victoria,13231,5220,13650,0,0,1050,7596,1922,2028,17816,26246,12596,12596,2008,Public
University of North Texas,3594,7120,15550,0,0,1210,6340,1960,1840,18470,26900,11350,11350,2008,Public
West Texas A&M University,3665,5340,13680,0,0,1000,5506,1440,1900,15186,23526,9846,9846,2008,Public
Abilene Christian University,3537,18930,18400,0,0,1150,4086,1390,1794,27350,26820,8420,8420,2008,Private
Austin College,3543,26555,26555,0,0,1000,3750,250,750,32305,32305,5750,5750,2008,Private
Baylor University,3545,26234,26534,0,0,1634,7608,2252,2416,40144,40444,13910,13910,2008,Private
Concordia University Texas,3557,20490,20490,0,0,1200,4938,735,1195,28558,28558,8068,8068,2008,Private
Dallas Baptist University,3560,16440,16440,0,0,1800,8217,2349,1602,30408,30408,13968,13968,2008,Private
East Texas Baptist University,3564,16140,16140,0,0,866,4416,807,1405,23634,23634,7494,7494,2008,Private
Hardin-Simmons University,3571,18380,18380,0,0,800,5180,1100,1482,26942,26942,8562,8562,2008,Private
Houston Baptist University,3576,19390,19390,0,0,1230,6765,1773,1825,30983,30983,11593,11593,2008,Private
Howard Payne University,3575,17400,17400,0,0,1200,3834,1060,1600,25094,25094,7694,7694,2008,Private
Huston-Tillotson University,3577,10258,10258,0,0,0,7308,1369,2326,21261,21261,11003,11003,2008,Private
Jarvis Christian College,3637,8373,8373,0,0,800,5708,1000,1750,17631,17631,9258,9258,2008,Private
Letourneau University,3584,19640,19640,0,0,1300,11800,1150,1520,35410,35410,15770,15770,2008,Private
